})^{\dagger }(\xi )^{\dagger }$\thinspace .} 
\begin{equation}
{\tilde{A}}\ast {\tilde{B}}(\bar{c}%
,l_{o}^{b},l_{o}^{c},r_{o}^{b},r_{o}^{c})=\int \prod_{o>0}\left( id\eta
_{o}^{b}d\eta _{o}^{c}\right) \,{\tilde{A}}(\bar{c},l_{o}^{b},l_{o}^{c},\eta
_{o}^{b},\eta _{o}^{c}){\tilde{B}}(\bar{c},\eta _{o}^{b},-\eta
_{o}^{c},r_{o}^{b},r_{o}^{c})\,.
\end{equation}
The string field in the split-string formulation is identified with the
usual position representation $\Psi (x\left( \sigma \right) ),$ which is
written in terms of modes 
\begin{equation}
{\tilde{A}}(\bar{c},l_{o}^{b},l_{o}^{c},r_{o}^{b},r_{o}^{c})\sim \Psi
(c_{0},x_{n},y_{n}):=\langle c_{0},x_{n},y_{n}|\Psi \rangle \,.
\label{eq:APsi_corr}
\end{equation}
In order to map it to the Moyal formulation, we compare Eqs.(\ref{half_odd_b}%
)(\ref{half_odd_c}) with Eq.(\ref{anti-from half}), and note the
similarities (we add prime ${}^{\prime }$ to distinguish the variables with
anti-overlapping condition from the variables with overlapping conditions) 
\begin{eqnarray}
\bar{S}x_{e}+x_{o}\sim x+{\frac{y}{2}}\,,\quad -\bar{S}x_{e}+x_{o}\sim x-{%
\frac{y}{2}}\,,\quad Ry_{e}+y_{o}\sim -x^{\prime }+{\frac{y^{\prime }}{2}}%
\,,\quad Ry_{e}-y_{o}\sim x^{\prime }+{\frac{y^{\prime }}{2}}\,
\end{eqnarray}
or equivalently\footnote{%
We note that the \textit{odd} modes correspond to the ``$x$-variable''\ of
phase space in the Moyal formulation of ghosts. By contrast, in the matter
sector, the even modes played the corresponding r\^{o}le (see Eq.(30) in 
\cite{B1}).} 
\begin{eqnarray}
x_{o}\sim x\,,\quad \bar{S}x_{e}\sim {\frac{y}{2}}\,,\quad y_{o}\sim
-x^{\prime }\,,\quad Ry_{e}\sim {\frac{y^{\prime }}{2}}\,.
\label{eq:var_corr}
\end{eqnarray}
Thus, using Eqs.(\ref{anti-from half})(\ref{eq:APsi_corr}), we obtain the
map from the field in the position representation to the Moyal representation 
\begin{eqnarray}
A(\bar{c},x_{o},p_{o},y_{o},q_{o}):=2^{-2N}(1+\bar{w}w)^{-{\frac{1}{4}}}\int
\prod_{e>0}\left( i^{-1}dx_{e}dy_{e}\right) e^{-2p_{o}\bar{S}
x_{e}-2q_{o}Ry_{e}}\Psi (\bar{c}+\bar{w}y_{e},x_{n},y_{n})\,.~~
\end{eqnarray}
At this point, we used the MSFT regularization scheme, by truncating the
ghost modes $x_{n},y_{n}$ to $n\leq 2N$, and using the parameters $(N,\kappa
_{e},\kappa _{o})$ given in the previous section. Thus, $w,R,S$ are
redefined in Eqs.(\ref{wv_exp})(\ref{TR_exp})(\ref{eqs:defns}) and $2^{2N},%
\bar{w}w$ are finite. We fixed the normalization factor $\left( \det (16\bar{%
S}\bar{R})\right) ^{-{\frac{1}{2}}}=2^{-2N}(1+\bar{w}w)^{-{\frac{1}{4}}}$
consistently with the trace that will be given later. {}Hence, from Eqs.(\ref
{eq:anti-Moyal})(\ref{eq:var_corr}), the Moyal $\star $ product that
corresponds to Witten's $\ast $ product is 
\begin{eqnarray}
&&A\star B(\bar{c},x_{o},p_{o},y_{o},q_{o})  \notag \\
&=&A(\bar{c},x_{o},p_{o},y_{o},q_{o})\,e^{-{\frac{1}{2}}\sum_{o>0}\left( {%
\frac{\overleftarrow{\partial }}{\partial x_{o}}}{\frac{\overrightarrow{%
\partial }}{\partial p_{o}}}+{\frac{\overleftarrow{\partial }}{\partial y_{o}%
}}{\frac{\overrightarrow{\partial }}{\partial q_{o}}}+{\frac{\overleftarrow{%
\partial }}{\partial p_{o}}}{\frac{\overrightarrow{\partial }}{\partial x_{o}%
}}+{\frac{\overleftarrow{\partial }}{\partial q_{o}}}{\frac{\overrightarrow{%
\partial }}{\partial y_{o}}}\right) }B(\bar{c},x_{o},p_{o},y_{o},q_{o})\,.
\label{eq:Moyal_org}
\end{eqnarray}
We introduced an arbitrary parameter $\theta ^{\prime }$ which is the analog
of $\theta $ in the matter sector\cite{BM2} to absorb units. We note that
the product is local as a function of the midpoint $\bar{c}$, while $\bar{c}$
is related to the center or mass variable $c_{0}$ by 
\begin{equation}
c_{0}=\bar{c}+\bar{w}y_{e}\,.
\end{equation}
By rescaling variables and performing Fourier transformation with respect to 
$\bar{c}$, we arrive at the definition of the string field in MSFT 
\begin{eqnarray}
&&\hat{A}(\xi _{0},x_{o},p_{o},y_{o},q_{o})  \notag \\
&=&\int d\bar{c}e^{-\xi _{0}\bar{c}}A(\bar{c},x_{o},-p_{o}/{\theta ^{\prime }%
},y_{o},-q_{o}/{\theta ^{\prime }}) \nonumber\\
&=&2^{-2N}(1+\bar{w}w)^{-{\frac{1}{4}}}\int dc_{0}\prod_{e>0}\left(
i^{-1}dx_{e}dy_{e}\right) e^{-\xi _{0}c_{0}+\xi _{0}\bar{w}y_{e}+{\frac{2}{%
\theta ^{\prime }}}p_{o}\bar{S}x_{e}+{\frac{2}{\theta ^{\prime }}}%
q_{o}Ry_{e}}\Psi (c_{0},x_{n},y_{n})\,.~~  \label{eq:MSFTfield}
\end{eqnarray}
By this Fourier transformation with respect to zero mode, the Grassmann
parity of $\hat{A}(\xi _{0},x_{o},p_{o},y_{o},q_{o})$ and the corresponding $%
|\Psi \rangle $ coincide. The Moyal $\star $ product which is modified after
Eqs.(\ref{eq:Moyal_org})(\ref{eq:MSFTfield}) is 
\begin{eqnarray}
&&\star :=\exp\left({1\over 2}{\overleftarrow{\partial}\over \partial\xi}
\Sigma{\overrightarrow{\partial}\over \partial\xi}\right)
=\exp \left( {\frac{1}{2}}\left( {\frac{\overleftarrow{\partial }}{%
\partial \xi _{1}}}\sigma ^{\prime }{\frac{\overrightarrow{\partial }}{%
\partial \xi _{1}}}+{\frac{\overleftarrow{\partial }}{\partial \xi _{2}}}%
\sigma ^{\prime }{\frac{\overrightarrow{\partial }}{\partial \xi _{2}}}%
\right) \right) \,,  \label{eq:Moyal_dfn} \\
&&\xi =\left( 
\begin{array}{c}
\xi _{1} \\ 
\xi _{2}
\end{array}
\right) \,,~~\xi _{1}=\left( 
\begin{array}{c}
x_{o} \\ 
p_{o}
\end{array}
\right) \,,~~\xi _{2}=\left( 
\begin{array}{c}
y_{o} \\ 
q_{o}
\end{array}
\right) \,,\quad ~
\Sigma=\left(\begin{array}[tb]{cc}
	\sigma'& 0\\
 0&\sigma'
	     \end{array}
\right)\,,~~
\sigma ^{\prime }=\theta ^{\prime }\left( 
\begin{array}{cc}
0 & 1 \\ 
1 & 0
\end{array}
\right) \,.~~~~~~~
\end{eqnarray}
We define the trace in MSFT as integration over the ``phase space'': 
\begin{equation}
\mathrm{Tr}\,\hat{A}(\xi _{0},\xi )=\det \sigma ^{\prime }
\int d\xi \,\hat{A}(\xi _{0},\xi )=(-1)^{N}{\theta ^{\prime }}%
^{2N}\int \prod_{o>0}\left( dx_{o}dp_{o}dy_{o}dq_{o}\right) \,\hat{A}(\xi
_{0},\xi )\,.  \label{eq:tracedef}
\end{equation}
The Moyal field $\hat{A}(\xi _{0},\xi )$ 
which is mapped from $|\Psi \rangle $ by (%
\ref{eq:MSFTfield}) is normalized as 
\begin{equation}
\int d\xi _{0}\mathrm{Tr}\left( \left( \hat{A}(\xi _{0},\xi )\right)
^{\dagger }\star \left( {\frac{\partial }{\partial \xi _{0}}}-{\frac{\theta
^{\prime }}{2}}\bar{v}{\frac{\partial }{\partial q_{o}}}\right) \hat{A}(\xi
_{0},\xi )\right) =\langle \Psi |\hat{c}_{0}|\Psi \rangle \,,  \label{norm}
\end{equation}
where ${\frac{\partial }{\partial \xi _{0}}}-{\frac{\theta ^{\prime }}{2}}%
\bar{v}{\frac{\partial }{\partial q_{o}}}$ corresponds to $-\hat{c}_{0}$ (%
\ref{eq:oscill_xypq}).

It is convenient to introduce the bra $\langle \xi _{0},\xi |$ as a state in
Fock space such that the Moyal field is related directly to the Fock space
field via $\hat{A}(\xi _{0},\xi )=\langle \xi _{0},\xi |\Psi \rangle $. This
can be obtained from the bra state $\langle c_{0},x_{n},y_{n}|$ (\ref
{e_bra_xy}) by Fourier transformation (\ref{eq:MSFTfield}), 
\begin{eqnarray}
\langle \xi _{0},\xi | &=&\langle \xi _{0},\xi _{1},\xi _{2}|=\langle \xi
_{0},x_{o},p_{o},y_{o},q_{o}|  \notag \\
&=&2^{-2N}(1+\bar{w}w)^{-{\frac{1}{4}}}\int dc_{0}\prod_{e>0}\left(
i^{-1}dx_{e}dy_{e}\right) e^{-\xi _{0}c_{0}+\xi _{0}\bar{w}y_{e}+{\frac{2}{%
\theta ^{\prime }}}p_{o}\bar{S}x_{e}+{\frac{2}{\theta ^{\prime }}}%
q_{o}Ry_{e}}\langle c_{0},x_{n},y_{n}|  \notag \\
&=&-2^{-2N}(1+\bar{w}w)^{-{\frac{1}{4}}}\langle \Omega |\hat{c}_{-1}e^{-\xi
_{0}(\hat{c}_{0}-\sqrt{2}\bar{w}\hat{c}_{e})}e^{\hat{c}_{e}\hat{b}_{e}-\hat{c%
}_{o}\hat{b}_{o}-2i\bar{\xi _{1}}M_{0}^{\left( o\right) }\xi _{2}-\bar{\xi
_{1}}\lambda _{1}-\bar{\xi _{2}}\lambda _{2}}\quad
\label{eq:Moyal-basis-ghost}
\end{eqnarray}
where we used notation: 
\begin{equation}
M_{0}^{\left( o\right) }=\left( 
\begin{array}{cc}
{\frac{1}{2}} & 0 \\ 
0 & {\frac{2}{{\theta ^{\prime }}^{2}}}\bar{S}\bar{R}
\end{array}
\right) \,,~~\lambda _{1}=\left( 
\begin{array}{c}
-i\sqrt{2}\hat{c}_{o} \\ 
-{\frac{2\sqrt{2}i}{\theta ^{\prime }}}\bar{S}\hat{b}_{e}+{\frac{2i}{\theta
^{\prime }}}\bar{S}w\xi _{0}
\end{array}
\right) \,,~~\lambda _{2}=\left( 
\begin{array}{c}
-\sqrt{2}\hat{b}_{o} \\ 
-{\frac{2\sqrt{2}}{\theta ^{\prime }}}R\hat{c}_{e}
\end{array}
\right) \,.
\end{equation}
This is the result given in the summary at the beginning of this section.

\paragraph{Examples}

Here we give some examples of string fields in MSFT.

For the conventional ghost number 1 vacuum $\hat{c}_{1}|\Omega \rangle $ and 
$SL(2,R)$ invariant vacuum $|\Omega \rangle $, the corresponding fields are
given by 
\begin{eqnarray}
\hat{A}_{0}(\xi _{0},\xi ) &=&\langle \xi _{0},\xi |\hat{c}_{1}|\Omega
\rangle =2^{-2N}(1+\bar{w}w)^{-{\frac{1}{4}}}\xi _{0}\,e^{-ix_{o}y_{o}-i{%
\frac{4}{{\theta ^{\prime }}^{2}}}p_{o}\left( \bar{S}\bar{R}\right)
_{oo^{\prime }}q_{o^{\prime }}}\,,  \label{perturbative_vacuum_odd} \\
\hat{A}_{\Omega }(\xi _{0},\xi ) &=&\langle \xi _{0},\xi |\Omega \rangle
=-i\,2^{-2N+{\frac{1}{2}}}(1+\bar{w}w)^{-{\frac{1}{4}}}\,\xi
_{0}\,x_{1}\,e^{-ix_{o}y_{o}-i4p_{o}\left( \bar{S}\bar{R}\right)
_{oo^{\prime }}q_{o^{\prime }}}\,.
\end{eqnarray}
We note that in the open string limit $\kappa _{e}=e,$ $\kappa _{o}=o,$ $%
N=\infty $, these expressions become singular. For example, the coefficient
of $p_{o}q_{o^{\prime }}$ is divergent, 
\begin{equation}
(\bar{S}\bar{R})_{oo^{\prime }}={\frac{16\,i^{o+o^{\prime }+2}}{\pi
^{2}o^{\prime }}}\sum_{e=2}^{\infty }{\frac{e^{3}}{(e^2-(o^{\prime
})^{2})(e^2-o^{2})}}=\pm \infty \,.  \label{RR_divergence}
\end{equation}
Therefore, it is advisable not to take the open string limit at the level of
the state, but wait for the end of a computation. We note that the physical
quantities such as the scattering amplitude become regular in this limit 
\cite{BKM1}.

For the identity-like state in the Siegel gauge: $|\tilde{I}\rangle =%
\mathcal{N}_{\tilde{I}}\,e^{\sum_{n=1}^{\infty }(-1)^{n}\hat{c}_{-n}\hat{b}%
_{-n}}\hat{c}_{1}|\Omega \rangle $, which is a delta function with respect
to the even modes in position basis, $\Psi _{\tilde{I}}(c_{0},x_{n},y_{n})=%
\mathcal{N}_{\tilde{I}}\prod_{e>0}(-4i\delta (x_{e})\delta (y_{e}))$, the
corresponding field is 
\begin{equation*}
\hat{A}_{\tilde{I}}(\xi _{0},x_{o},p_{o},y_{o},q_{o})=(-1)^{N}(1+\bar{w}w)^{-%
{\frac{1}{4}}}\mathcal{N}_{\tilde{I}}\,\xi _{0}\,.
\end{equation*}
Except for the zero mode and the normalization factor, this $\hat{A}_{\tilde{%
I}}$ is the identity element with respect to the Moyal $\star $ product. The
conventional identity state $|I\rangle $ (\ref{eq:identityket}) \cite{GJ}
(which is BRST invariant, and not in the Siegel gauge) becomes more
complicated in MSFT.

\subsection{Oscillators
{\label{oscillators}}}

In this subsection, we obtain the Moyal images of the conventional
oscillators which are used in applications in MSFT. In this way we can write
various operators in oscillator language and in particular discuss the form
of $L_{0}$ and the butterfly state which came up in our work in \cite{BKM2}.

\subsubsection{Oscillators on the fields in MSFT
\label{sec:derivative}}

For an operator $\hat{\mathcal{O}}$ which consists of $\hat{b}_{n},\hat{c}%
_{n},$ acting on a state $|\Psi \rangle $ in Fock space, we define its Moyal
image $\hat{\beta}_{\hat{\mathcal{O}}},$ which is a differential operator
acting on the Moyal field $\hat{A}_{\Psi }(\xi _{0},\xi )=\langle \xi
_{0},\xi |\Psi \rangle $, as follows 
\begin{equation}
\hat{\beta}_{\hat{\mathcal{O}}}\hat{A}_{\Psi }(\xi _{0},\xi )=\langle \xi
_{0},\xi |{\hat{\mathcal{O}}}|\Psi \rangle \,.
\end{equation}
For the basic operators, $\hat{c}_{0},\hat{b}_{0},\hat{x}_{o},\hat{y}_{o},%
\hat{x}_{e},\hat{y}_{e},\hat{p}_{o},\hat{q}_{o},\hat{p}_{e},\hat{q}_{e}$,
this rule gives the corresponding operators in MSFT 
\begin{eqnarray}
&&\hat{\beta}_{\hat{c}_{0}}=-{\frac{\partial }{\partial \xi _{0}}}+{\frac{%
\theta ^{\prime }}{2}}\bar{v}{\frac{\partial }{\partial q_{o}}}\,,\quad \hat{%
\beta}_{\hat{b}_{0}}=-\xi _{0}\,,   \\
&&\hat{\beta}_{\hat{x}_{o}}=x_{o}\,,\qquad \hat{\beta}_{\hat{y}%
_{o}}=y_{o}\,,\qquad \hat{\beta}_{\hat{x}_{e}}={\frac{\theta ^{\prime }}{2}}S%
{\frac{\partial }{\partial p_{o}}}\,,\quad {\beta }_{\hat{y}_{e}}={\frac{%
\theta ^{\prime }}{2}}T{\frac{\partial }{\partial q_{o}}}\,,   \\
&&\hat{\beta}_{\hat{p}_{o}}={\frac{\partial }{\partial x_{o}}}\,,\qquad \hat{%
\beta}_{\hat{q}_{o}}={\frac{\partial }{\partial y_{o}}}\,,\qquad \hat{\beta}%
_{\hat{p}_{e}}={\frac{2}{\theta ^{\prime }}}Sp_{o}\,,\qquad \hat{\beta}_{%
\hat{q}_{e}}={\frac{2}{\theta ^{\prime }}}\bar{R}\,q_{o}+w_{e}\xi _{0}\,.
\label{eq:oscill_xypq}
\end{eqnarray}
The nonzero modes of the oscillators $\hat{b}_{n},\hat{c}_{n}$ become 
\begin{eqnarray}
&&\hat{\beta}_{e}^{b}={\frac{1}{\sqrt{2}}}\sum_{o>0}\left( {\frac{2}{\theta
^{\prime }}}q_{o}R_{o|e|}-i\epsilon (e){\frac{\theta ^{\prime }}{2}}
S_{|e|o}\,{\frac{\partial }{\partial p_{o}}}\right) +{\frac{1}{\sqrt{2}}}
w_{|e|}\xi _{0}=\sum_{o}\bar{\beta}_{o}^{b}U_{-o,e}^{-1}+w_{e}^{\prime }\xi
_{0}\,,   \label{eq:betahats_a}\\
&&\hat{\beta}_{o}^{b}={\frac{1}{\sqrt{2}}}\left( {\frac{\partial }{\partial
y_{|o|}}}-i\epsilon (o)x_{|o|}\right) \,,   \\
&&\hat{\beta}_{e}^{c}={\frac{1}{\sqrt{2}}}\sum_{o>0}\left( {\frac{\theta
^{\prime }}{2}}T_{|e|o}{\frac{\partial }{\partial q_{o}}}-i\epsilon (e){
\frac{2}{\theta ^{\prime }}}S_{|e|o}\,p_{o}\right) =\sum_{o}U_{e,-o}\bar{
\beta}_{o}^{c}\,,  \label{eq:betahats} \\
&&\hat{\beta}_{o}^{c}={\frac{1}{\sqrt{2}}}\left( y_{|o|}-i\epsilon (o){\frac{
\partial }{\partial x_{|o|}}}\right) \,.  
\end{eqnarray}
In the first and third equations we introduced the symbols $\bar{\beta}
_{o}^{b}$,$\bar{\beta}_{o}^{c}$ to denote the differential operators 
\begin{equation}
\bar{\beta}_{o}^{b}={\frac{1}{\sqrt{2}}}\left( {\frac{2}{\theta ^{\prime }}}
q_{|o|}-i{\frac{\theta ^{\prime }}{2}}\epsilon (o){\frac{\partial }{\partial
p_{|o|}}}\right) \,,\quad \bar{\beta}_{o}^{c}={\frac{1}{\sqrt{2}}}\left( {
\frac{\theta ^{\prime }}{2}}{\frac{\partial }{\partial q_{|o|}}}-i\epsilon
(o){\frac{2}{\theta ^{\prime }}}p_{|o|}\right) \,.
\end{equation}
The even and the odd sets satisfy canonical anti-commutation relations 
\begin{equation}
\{\hat{\beta}_{e}^{b},\hat{\beta}_{e^{\prime }}^{c}\}=\delta _{e+e^{\prime
}}\,,\quad \{\hat{\beta}_{o}^{b},\hat{\beta}_{o^{\prime }}^{c}\}=\delta
_{o+o^{\prime }}\,,\quad \{\bar{\beta}_{o}^{b},\bar{\beta}_{o^{\prime
}}^{c}\}=\delta _{o+o^{\prime }}\,.
\end{equation}
Using the above maps of operators, we can translate operators in the usual
oscillator representation into MSFT language. For example, the ghost number
operator (we assigned ghost number 1 to $\hat{c}_{1}|\Omega \rangle $) 
\begin{equation}
N_{\mathrm{gh}}=\sum_{n\geq 1}(\hat{c}_{-n}\hat{b}_{n}-\hat{b}_{-n}\hat{c}%
_{n})+\hat{c}_{0}\hat{b}_{0}+1\,,
\end{equation}
is mapped to its MSFT image 
\begin{equation}
N_{\mathrm{gh}}=\sum_{o>0}\left( y_{o}{\frac{\partial }{\partial y_{o}}}%
-x_{o}{\frac{\partial }{\partial x_{o}}}+p_{o}{\frac{\partial }{\partial
p_{o}}}-q_{o}{\frac{\partial }{\partial q_{o}}}\right) -\xi _{0}{\frac{%
\partial }{\partial \xi _{0}}}+2\,.
\end{equation}

\subsubsection{Oscillator as a field}

It is often useful to rewrite differential operators in Moyal space in terms
of the star product. The idea is to replace the derivative by the $\star $
-(super)commutator:\footnote{
We define the supercommutator as 
$[\hat{A}_{1},\hat{A}_{2}\}_{\star}:=\hat{A}_{1}\star
\hat{A}_{2}-(-1)^{|A_{1}||A_{2}|}\hat{A}_{2}\star
\hat{A_{1}}$. 
Note that $\hat{A}{\frac{\overleftarrow{\partial
}}{\partial \xi }}=-(-1)^{|A|}{\frac{\overrightarrow{\partial
}}{\partial \xi }}\hat{A}$ 
.}
\begin{eqnarray}
{\frac{\partial }{\partial \xi }}\hat{A}=\Sigma^{-1}
[\xi ,\hat{A}\}"
17,\cite{BKM1}
18,\cite{BM1}
19,\cite{B2}
20,\cite{BKM2}
21,\cite{BKM2}
22,\cite{BM2}
23,"\cite{BKM1,BKM2}"
24,"\cite{B1,BM1,BM2}"
25,"\cite{BM1, BM2}"
26,\cite{Erler}
27,\cite{DLMZ}
28,\cite{conti}
29,\cite{BKM1}
30,\cite{BM2}
31,\cite{BM2}
32,\cite{BM2}
33,"\cite{BKM1,BKM2}"
34,\cite{BKM1}
35,\cite{BFFLS}
36,"\cite
{Bordemann}. The anti-Moyal star product will simply be referred to as the
Moyal star product in the following. A first basic construction for the
ghost $bc$ system, following the one in the matter sector \cite{B1}, was
previously discussed in \cite{Erler}, while the correct treatment of the
midpoint was first given in \cite{BKM1}. In this section we give the
complete treatment, including the consistent regularization with the matter
sector.

We also define the even basis of ghost modes that is most transparent for
our computations, after defining some other bases as well. We first
summarize the main results of this rather lengthy and technical section:

\begin{itemize}
\item  The Moyal $\star $ acts on fermionic ghost modes $\xi \equiv
(x_{o},p_{o},y_{o},q_{o})$ ($o=1,3,5,\cdots ,2N-1$) as 
\begin{equation}
(A\star B)(x_{o},p_{o},y_{o},q_{o})=A\exp \left( {\frac{\theta ^{\prime }}{2}%
}\sum_{o>0}\left( {\frac{\overleftarrow{\partial }}{\partial x_{o}}}{\frac{%
\overrightarrow{\partial }}{\partial p_{o}}}+{\frac{\overleftarrow{\partial }%
}{\partial y_{o}}}{\frac{\overrightarrow{\partial }}{\partial q_{o}}}+{\frac{%
\overleftarrow{\partial }}{\partial p_{o}}}{\frac{\overrightarrow{\partial }%
}{\partial x_{o}}}+{\frac{\overleftarrow{\partial }}{\partial q_{o}}}{\frac{%
\overrightarrow{\partial }}{\partial y_{o}}}\right) \right) B\,,
\label{e_M1}
\end{equation}
where $\theta ^{\prime }$ is a parameter which absorbs units, and if
desired, could be absorbed away by a rescaling of the variables which
amounts to a choice of units. We note the canonical structure $\left\{
x_{o},p_{o^{\prime }}\right\} _{\star }=\theta ^{\prime }\delta _{oo^{\prime
}}=\left\{ y_{o},q_{o^{\prime }}\right\} .$ This odd basis $\left( o\right) $
of ghost modes, which was used in \cite{BKM1}, is naturally defined in the
process of mapping the Witten star to the Moyal star, including the
treatment of the midpoint. However, a more transparent basis that is more
parallel to the matter sector, which simplifies the overall formalism, is
obtained by rewriting the odd basis, through the following linear \textit{%
canonical} transformation, in terms of an even basis $%
x_{e}^{b},p_{e}^{b},x_{e}^{c},p_{e}^{c}$ ($e=2,4,\cdots ,2N$), where the
labels $b,c$ refer to the modes of the usual $b,c$ ghosts 
\begin{equation}
x_{e}^{b}:=\kappa _{e}^{-1}\sum_{o>0}S_{eo}x_{o}\,,\quad p_{e}^{b}:=\kappa
_{e}\sum_{o>0}S_{eo}p_{o}\,,\quad x_{e}^{c}:=\sum_{o>0}T_{eo}y_{o}\,,\quad
p_{e}^{c}:=\sum_{o>0}q_{o}R_{oe}\,.
\end{equation}
This even basis is different than the one defined in \cite{Erler}. The Moyal
product is rewritten as 
\begin{equation}
(A\star B)(x_{e}^{b},p_{e}^{b},x_{e}^{c},p_{e}^{c})=A\exp \left( {\frac{%
\theta ^{\prime }}{2}}\sum_{e>0}\left( {\frac{\overleftarrow{\partial }}{%
\partial x_{e}^{b}}}{\frac{\overrightarrow{\partial }}{\partial p_{e}^{b}}}+{%
\frac{\overleftarrow{\partial }}{\partial x_{e}^{c}}}{\frac{\overrightarrow{%
\partial }}{\partial p_{e}^{c}}}+{\frac{\overleftarrow{\partial }}{\partial
p_{e}^{b}}}{\frac{\overrightarrow{\partial }}{\partial x_{e}^{b}}}+{\frac{%
\overleftarrow{\partial }}{\partial p_{e}^{c}}}{\frac{\overrightarrow{%
\partial }}{\partial x_{e}^{c}}}\right) \right) B\,.  \label{e_M2}
\end{equation}
We note the canonical structure $\left\{ x_{e}^{b},p_{e^{\prime
}}^{b}\right\} _{\star }=\theta ^{\prime }\delta _{ee^{\prime }}=\left\{
x_{e}^{c},p_{e^{\prime }}^{c}\right\} _{\star }.$ The linear transformation
matrices, $T,R$ (and matrices $U$ and vectors $v,w$ which appear in the
following) were defined in \cite{BM2}, while the matrix $S$ appears for the
first time in this paper. Their properties are derived explicitly in
subsection \ref{sec:sine}. They play a central role in MSFT since they
define a Bogoliubov transformation from the oscillators in the operator
formalism to the Moyal coordinates, and thus carry essential information
about string theory. For instance, see Eqs.(\ref{e_bra},\ref{e_def_M_lambda}%
) in the next paragraph. For the moment, we just mention that they satisfy
the inverse properties $TR=RT=S\bar{S}=\bar{S}S=1$ which prove that the two
versions of the star product (\ref{e_M1}) and (\ref{e_M2}) are canonically
equivalent. Throughout this paper, the bar ($\bar{\,\,}$) means the
transpose of matrices or vectors. The relation of split strings to the Moyal
star is discussed in subsection \ref{sec:odd_Moyal}.

\item  In the operator formulation, the ghost sector of the string field $%
|\Psi \rangle $ is represented in the Fock space of the $bc$ ghost
oscillators. The transformation to the Moyal field $A\left( \xi \right) $ as
a function of noncommutative coordinates $\xi =\left( x,p\right) $ is
obtained through the Fourier transformation \cite{B1} of the coordinate
representation of $|\Psi \rangle $. The whole procedure is more neatly
expressed, as in the matter sector \cite{BM2}, by the inner product with a
particular bra state $\langle \xi _{0},\xi _{1},\xi _{2}|$ in the Fock
space, where $\bar{\xi}_{1}=\left( x_{o},p_{o}\right) ,\bar{\xi}_{2}=\left(
